# batch 6: ranks 1198-1297 of data/cx_full_list.xlsx
കലാൻചോ ലൂസിയ	0.9483	0.0517
ഗവൺമെൻ്റ് മെഡിക്കൽ കോളേജ്, ജൽഗാവ്	0.9483	0.0517
വാർത്ത (ചലച്ചിത്രം)	0.9483	0.0517
സുഖ്ദേവ് ഭഗത്	0.9483	0.0517
ഫ്രാക്ചർ മെക്കാനിക്സ്	0.9482	0.0518
ഫെഡറേഷൻ ഓഫ് ഒബ്സ്റ്റട്രിക് ആൻഡ് ഗൈനക്കോളജിക്കൽ സൊസൈറ്റീസ് ഓഫ് ഇന്ത്യ	0.9482	0.0518
ഗലിവീട് മണ്ഡൽ	0.9481	0.0519
ഹെലെൻ ബെൻസൺ	0.9481	0.0519
പുഴയൊഴുകും വഴി	0.9481	0.0519
യുവേഫ ചാമ്പ്യൻസ് ലീഗ്	0.9481	0.0519
ഇണക്കിളി (ചലച്ചിത്രം)	0.9481	0.0519
ജർമ്മനിയിലുള്ള അമേരിക്കക്കാർ	0.9481	0.0519
മുസാഫർനഗർ മെഡിക്കൽ കോളേജ്	0.9481	0.0519
റാൻസിഡിഫിക്കേഷൻ	0.9480	0.0520
Balasubramaniam Ramamurthi	0.9480	0.0520
മാതംഗി ജഗദീഷ്	0.9480	0.0520
Samiran Nundy	0.9480	0.0520
അരവിന്ദ് കുമാർ ശർമ്മ	0.9479	0.0521
Safdarjung Hospital	0.9479	0.0521
ജേർണി ഓഫ് ലവ് 18+	0.9479	0.0521
പൊയ്യാമൊഴി	0.9479	0.0521
എ ടി.ഐ.എം.ഇ.	0.9478	0.0522
ആപ്പുവാലൻ തിരവെട്ടി	0.9478	0.0522
വിക്ടോറിയ ലാന്റ്	0.9478	0.0522
ഹർഷദ ഗരുഡ്	0.9478	0.0522
നിഷു കുമാർ	0.9477	0.0523
Rajendra Achyut Badwe	0.9477	0.0523
ഡിസ്യുറിയ	0.9476	0.0524
ത്രിപുരയുടെ ചരിത്രം	0.9474	0.0526
ദ്രോഹി (ചലച്ചിത്രം)	0.9474	0.0526
നഴ്‌സസ് ട്രെയിനിംഗ് കോളേജ്, ബെരെകം	0.9474	0.0526
പിള്ളയാർ സുഴി	0.9474	0.0526
പെൺസിംഹം	0.9474	0.0526
മമത ഡാഷ്	0.9474	0.0526
ലാസ്റ്റ് ബെഞ്ച്	0.9474	0.0526
വിജയ രാമചന്ദ്രൻ	0.9474	0.0526
K. B. Sainis	0.9472	0.0528
സാന്ത ക്രൂസ് കത്തീഡ്രൽ ബസിലിക്ക കൊച്ചി	0.9472	0.0528
കമല നെഹ്‌റു മെമ്മോറിയൽ ഹോസ്പിറ്റൽ	0.9472	0.0528
മിറാഫ്ലോർസ് (പനാമ)	0.9471	0.0529
പെട്രോനെറ്റ് എൽഎൻജി	0.9471	0.0529
ഗാന്ധി മെഡിക്കൽ കോളേജ്, ഭോപ്പാൽ	0.9471	0.0529
2022 FIFA World Cup	0.9470	0.0530
തെല്ലിപ്പളൈ റെയിൽവേ സ്റ്റേഷൻ	0.9470	0.0530
ഐശ്വര്യ വാര്യർ	0.9469	0.0531
വിദ്യ സുബ്രഹ്മണ്യൻ	0.9469	0.0531
മ്യൂ കടൽക്കാക്ക	0.9469	0.0531
Murder of Vandana Das	0.9469	0.0531
ദിവ്യ പിള്ള	0.9468	0.0532
Sun Pharma	0.9468	0.0532
M. Radhakrishna Pillai (scientist)	0.9468	0.0532
2024ലെ അങ്കോളയിലെ ഷിരൂരിലെ മണ്ണിടിച്ചിൽ	0.9467	0.0533
Royal College of Physicians of Edinburgh	0.9467	0.0533
ശങ്കരനാരായണ മേനോൻ ചുണ്ടയിൽ	0.9467	0.0533
Francisco Sardinha	0.9467	0.0533
കൗമാരപ്രായം	0.9467	0.0533
റോഹ്താങ് പാസ്	0.9467	0.0533
കാളിഘട്ട് കാളി ക്ഷേത്രം	0.9466	0.0534
Billboard (magazine)	0.9466	0.0534
Cova Figueira	0.9466	0.0534
ആചാര്യ ഹരിഹർ പോസ്റ്റ് ഗ്രാജ്വേറ്റ് ഇൻസ്റ്റിറ്റ്യൂട്ട് ഓഫ് കാൻസർ	0.9466	0.0534
Bhalchandra Babaji Dikshit	0.9464	0.0536
ജെഎസ്എസ് അക്കാദമി ഓഫ് ഹയർ എജ്യുക്കേഷൻ & റിസർച്ച്	0.9464	0.0536
മാ ഡോങ്-സിയോക്	0.9464	0.0536
ഹിന്ദു മഹാ സഭ (ഫിജി)	0.9464	0.0536
കെറിൻ വില്യംസ്	0.9464	0.0536
ബ്രിജിറ്റ് സി വൈഡ്മാൻ	0.9464	0.0536
സറിൻ ഷിഹാബ്	0.9464	0.0536
റോബർട്ടോ കാൽഡെറോ-ബാർസിയ	0.9463	0.0537
വെള്ളാങ്ങല്ലൂർ	0.9463	0.0537
ആംബോപ്റ്ററിക്സ്	0.9462	0.0538
റാബ്ദോമയാലിസിസ്	0.9461	0.0539
പൃഥ്വിരാജ് ചൗഹാൻ	0.9461	0.0539
Amit Dutt	0.9460	0.0540
Al Harrah, Saudi Arabia	0.9459	0.0541
Kakarla Subba Rao	0.9459	0.0541
ഇത്തിരി നേരം ഒത്തിരി കാര്യം	0.9459	0.0541
എൻആർഐ അക്കാദമി ഓഫ് മെഡിക്കൽ സയൻസസ്	0.9459	0.0541
കോടതി	0.9459	0.0541
കൽപ്പന മോർപാരിയ	0.9459	0.0541
ജാദ് ജനത	0.9459	0.0541
നാഷണൽ ഇൻസ്റ്റിറ്റ്യൂട്ട് ഫോർ ഇംപ്ലിമെന്റേഷൻ റിസർച്ച് ഓൺ നോൺ-കമ്മ്യൂണിക്കബിൾ ഡിസീസസ്	0.9459	0.0541
പൂനെ സാർവജനിക സഭ.	0.9459	0.0541
ഫോർട്ട് കൊച്ചി വാട്ടർ മെട്രോ സ്റ്റേഷൻ	0.9459	0.0541
മണ്ടന്മാർ ലണ്ടനിൽ	0.9459	0.0541
മിനിമോൾ വത്തിക്കാനിൽ	0.9459	0.0541
റെജീന വോൺ സീബോൾഡ്	0.9459	0.0541
സെബാസ്റ്റ്യൻ എം. ജെ.	0.9459	0.0541
Carmelite Sisters of Saint Teresa	0.9458	0.0542
നിക്കോൾ സഫിയർ	0.9458	0.0542
ഇന്റർനാഷണൽ സ്വാമിനാരയൺ സത്സംഗ് ഓർഗനൈസേഷൻ	0.9457	0.0543
സിംഗ്ഭും ലോക്സഭാ മണ്ഡലം	0.9457	0.0543
പീറ്റർ ഗുസ്താവ് ലെജ്യൂൺ ഡിറിക്ലെ	0.9457	0.0543
റാഫേൽ വരാനെ	0.9457	0.0543
J. G. Jolly	0.9457	0.0543
വില്യാപ്പള്ളി	0.9455	0.0545
K. Balakrishna kurup	0.9455	0.0454
Ajit Kumar Basu	0.9455	0.0545
ജെയിംസ് (നടൻ)	0.9455	0.0545
ധുബ്രി മെഡിക്കൽ കോളേജ് ആൻഡ് ഹോസ്പിറ്റൽ	0.9455	0.0545
